date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:18	122/122	U-----	200	untouched ('OK')	text/plain	date:Mon,%2030%20May%202022%2020:55:21%20GMT	https://goodxfoood.webnode.cz/robots.txt		(from )
20:36:18	23778/23778	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2018%20Jun%202023%2000:36:19%20GMT	https://goodxfoood.webnode.cz/	C:/Users/Ant/websites/HTTrack/gooodxfood/goodxfoood.webnode.cz/html/index.html	(from )
20:36:18	413/413	---M--	200	added ('OK')	image/svg+xml	etag:%22601a55fb-19d%22	https://goodxfoood.webnode.cz/favicon.svg	C:/Users/Ant/websites/HTTrack/gooodxfood/goodxfoood.webnode.cz/svg/favicon.svg	(from https://goodxfoood.webnode.cz/)
20:36:18	316/316	---M--	200	added ('OK')	image/svg+xml	etag:%22601a55fb-13c%22	https://goodxfoood.webnode.cz/favicon16.svg	C:/Users/Ant/websites/HTTrack/gooodxfood/goodxfoood.webnode.cz/svg/favicon16.svg	(from https://goodxfoood.webnode.cz/)
20:36:18	22638/22638	---M--	200	added ('OK')	image/x-icon	etag:%22601a55fb-586e%22	https://goodxfoood.webnode.cz/favicon.ico	C:/Users/Ant/websites/HTTrack/gooodxfood/goodxfoood.webnode.cz/ico/favicon.ico	(from https://goodxfoood.webnode.cz/)
20:36:18	0/0	---M--	200	added ('OK')	text/css	etag:%2249c23458-0%22	https://goodxfoood.webnode.cz/wysiwyg/system.style.css	C:/Users/Ant/websites/HTTrack/gooodxfood/goodxfoood.webnode.cz/css/system.style.css	(from https://goodxfoood.webnode.cz/)
20:36:21	52082/52082	---MC-	200	added ('OK')	text/javascript	date:Mon,%2017%20Apr%202023%2022:36:01%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Ant/websites/HTTrack/gooodxfood/www.google-analytics.com/js/analytics.js	(from https://goodxfoood.webnode.cz/)
20:36:21	22175/22175	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Jun%202023%2000:36:20%20GMT	https://goodxfoood.webnode.cz/wnd_header.set	C:/Users/Ant/websites/HTTrack/gooodxfood/goodxfoood.webnode.cz/set/wnd_header.set	(from https://goodxfoood.webnode.cz/)
20:36:21	1442/1442	---MC-	200	added ('OK')	text/xml	date:Mon,%2030%20May%202022%2020:55:22%20GMT	https://goodxfoood.webnode.cz/rss/all.xml	C:/Users/Ant/websites/HTTrack/gooodxfood/goodxfoood.webnode.cz/xml/all.xml	(from https://goodxfoood.webnode.cz/)
20:36:21	1036/1036	---M-Z	200	added ('OK')	application/x-javascript	etag:%220b3150154d15363ce23ddeb7cc9e657f%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/js/functions.js	C:/Users/Ant/websites/HTTrack/gooodxfood/d11bh4d8fhuq47.cloudfront.net/js/functions.js	(from https://goodxfoood.webnode.cz/)
